system   D            wsystem.c:583  maybe_parent_dir                 [   0.00056] Also searching D:\Xkonti\GitHub\RoboSim\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00092] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00096] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00661] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.03013] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.03018] Allegro version: 5.0.10
dtor     D               dtor.c:184  _al_register_destructor          [   0.03580] added dtor for object 0106B360, func 5AAD2590
dtor     D               dtor.c:184  _al_register_destructor          [   0.05538] added dtor for object 0106B490, func 5AAD2590
dtor     D               dtor.c:184  _al_register_destructor          [   0.05658] added dtor for object 0106B578, func 5AAD2590
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.82897] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.82901] al_display=010BD928
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.82902] al_display->vt=010BD860
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.83106] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.83109] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83110] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83112] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83113] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83114] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83116] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83117] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83118] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83120] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83121] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83122] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83124] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83125] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83126] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83127] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83129] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83130] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83131] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83133] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83134] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83135] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83142] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83143] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83145] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83146] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83147] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83148] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
